text,label
"TITLE: Senior Python Developer | COMPANY: Google | LOCATION: San Francisco, CA | DESCRIPTION: We are hiring experienced Python developers to build scalable web applications.",valid_job
"TITLE: Senior Python Developer | COMPANY: Google | LOCATION: San Francisco, CA | DESCRIPTION: We are hiring experienced Python developers to build scalable web applications.",valid_job
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
TITLE: Backend Engineer | COMPANY: Stripe | LOCATION: Remote | DESCRIPTION: Backend engineer position working with Node.js and PostgreSQL.,valid_job
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
TITLE: Job Alert Digest | COMPANY: JobBoard | LOCATION: N/A | DESCRIPTION: Weekly job summary - 50 new postings this week.,junk
TITLE: Newsletter: Python Developer Update | COMPANY: Newsletter Service | LOCATION: N/A | DESCRIPTION: Subscribe to our hiring newsletter for latest updates.,junk
TITLE: Career Fair Reminder | COMPANY: University Career Center | LOCATION: N/A | DESCRIPTION: Don't miss our virtual career fair next Tuesday!,junk
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
TITLE: Backend Engineer | COMPANY: Stripe | LOCATION: Remote | DESCRIPTION: Backend engineer position working with Node.js and PostgreSQL.,valid_job
"TITLE: Senior Python Developer | COMPANY: Google | LOCATION: San Francisco, CA | DESCRIPTION: We are hiring experienced Python developers to build scalable web applications.",valid_job
TITLE: Backend Engineer | COMPANY: Stripe | LOCATION: Remote | DESCRIPTION: Backend engineer position working with Node.js and PostgreSQL.,valid_job
TITLE: Hiring Trends Report | COMPANY: HR Analytics | LOCATION: N/A | DESCRIPTION: Industry report: Tech hiring up 15% this quarter.,junk
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
"TITLE: DevOps Engineer | COMPANY: AWS | LOCATION: Seattle, WA | DESCRIPTION: DevOps role requiring AWS, Docker, and Kubernetes expertise.",valid_job
TITLE: Resume Review Service | COMPANY: CareerCoach | LOCATION: N/A | DESCRIPTION: Get your resume professionally reviewed for $49.,junk
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
TITLE: Hiring Trends Report | COMPANY: HR Analytics | LOCATION: N/A | DESCRIPTION: Industry report: Tech hiring up 15% this quarter.,junk
"TITLE: Senior Python Developer | COMPANY: Google | LOCATION: San Francisco, CA | DESCRIPTION: We are hiring experienced Python developers to build scalable web applications.",valid_job
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
"TITLE: Frontend Developer | COMPANY: Airbnb | LOCATION: New York, NY | DESCRIPTION: Build responsive UIs using React and modern JavaScript frameworks.",valid_job
TITLE: Resume Review Service | COMPANY: CareerCoach | LOCATION: N/A | DESCRIPTION: Get your resume professionally reviewed for $49.,junk
TITLE: Resume Review Service | COMPANY: CareerCoach | LOCATION: N/A | DESCRIPTION: Get your resume professionally reviewed for $49.,junk
TITLE: Data Scientist | COMPANY: Meta | LOCATION: Remote | DESCRIPTION: Join our data science team working on cutting-edge ML models.,valid_job
TITLE: Resume Review Service | COMPANY: CareerCoach | LOCATION: N/A | DESCRIPTION: Get your resume professionally reviewed for $49.,junk
TITLE: Newsletter: Python Developer Update | COMPANY: Newsletter Service | LOCATION: N/A | DESCRIPTION: Subscribe to our hiring newsletter for latest updates.,junk
TITLE: Backend Engineer | COMPANY: Stripe | LOCATION: Remote | DESCRIPTION: Backend engineer position working with Node.js and PostgreSQL.,valid_job
TITLE: Job Alert Digest | COMPANY: JobBoard | LOCATION: N/A | DESCRIPTION: Weekly job summary - 50 new postings this week.,junk
